2012	14,885
	14,935
	16,781
	15,231
	16,500
	16,246
	16,245
	17,246
	15,951
	17,754
	16,403
	15,944
2013	15,535
	14,163
	16,301
	15,135
	16,224
	16,006
	16,193
	17,127
	15,995
	17,556
	16,791
	15,995
2014	15,474
	14,198
	15,984
	16,136
	16,283
	16,474
	17,033
	17,007
	16,971
	17,242
	17,178
	17,180
2015	16,207
	14,813
	17,331
	15,760
	16,719
	16,987
	17,215
	18,177
	17,429
	17,629
	17,945
	16,835
2016	16,660
	15,611
	17,766
	16,346
	17,386
	17,244
	17,258
	18,201
	18,364
	18,544
	18,591
	17,598
2017	16,781
	14,849
	17,947
	17,049
	17,758
	17,324
	17,501
	18,684
	17,879
	18,913
	18,357
	17,485
2018	16,828
	15,299
	17,901
	16,776
	17,152
	17,532
	18,044
	19,095
	17,416
	19,368
